input,result
5.73,6.25
5.86,6.24
5.74,6.36
5.76,7.48
6.24,6.55
6.24,6.64
6.44,7.56
14.26,13.58
10.40,10.70
6.73,7.12
8.13,9.42
8.57,9.35
8.49,9.60
8.64,9.13
8.30,8.82
8.12,8.61
8.22,8.66
8.37,8.81
8.71,9.32
9.05,26.36
10.01,11.95
8.20,25.41
8.86,24.33
14.16,19.46
14.38,18.86
14.67,18.15
13.62,20.81
14.21,20.95
13.93,18.04
14.25,17.12
14.07,16.72
14.30,16.81
13.92,16.71
13.53,17.43
13.12,15.79
12.00,14.10
12.16,14.48
11.88,14.03
11.90,14.10
11.86,13.97
11.98,14.33
12.07,15.08
11.78,14.11
12.02,15.31
13.69,16.25
13.39,16.08
12.96,15.73
12.07,15.58
12.24,15.52
12.24,15.62
12.29,15.52
12.19,15.65
12.39,15.88
12.26,15.56
12.50,15.60
12.51,15.62
12.75,15.81
12.71,15.96
12.83,16.16
12.63,16.25
12.79,16.61
12.74,16.84
12.48,16.66
12.72,17.01
