input    result
12.36    28.87
9.40    24.26
6.10    24.66
5.13    23.50
5.74    23.68
7.07    25.52
6.19    23.96
7.52    26.23
7.23    25.84
6.52    24.54
5.74    23.90
5.46    24.00
7.97    24.47
4.06    21.78
12.36    29.18
8.69    25.07
8.75    25.65
7.52    26.32
7.86    24.10
8.25    27.49
5.44    24.88
7.30    23.58
5.09    22.32
6.52    24.64
4.65    23.01
3.27    21.74
8.64    25.44
6.49    25.26
8.01    23.50
5.51    22.84
12.11    28.82
5.08    24.03
10.09    27.15
4.25    21.89
4.12    21.46
8.61    25.28
6.38    25.01
7.13    25.65
8.53    23.87
8.01    23.94
10.05    26.64
4.18    23.03
6.74    25.51
7.00    25.01
3.70    21.85
11.94    28.27
7.12    25.47
11.12    28.19
7.05    24.55
11.79    27.81
6.27    25.38
7.83    26.93
3.85    20.34
11.07    27.89
6.38    24.66
7.20    24.80
11.69    28.59
7.97    24.34
7.83    27.00
8.30    24.79
12.87    34.55
9.91    29.75
6.61    31.16
5.65    27.26
6.26    28.39
7.59    31.11
6.71    31.02
8.05    32.08
7.74    31.14
7.06    28.59
6.23    29.93
5.98    30.96
8.48    29.44
4.59    28.75
12.87    34.14
9.21    30.99
9.28    31.12
8.02    30.82
8.35    29.96
8.75    30.74
5.96    31.34
7.84    28.88
5.61    29.15
7.02    30.55
5.15    29.49
3.82    30.13
9.16    30.90
6.99    31.73
8.53    29.22
6.03    27.80
12.63    34.02
5.60    31.23
10.61    32.87
4.75    27.51
4.63    28.86
9.10    30.21
6.91    31.67
7.64    29.02
9.04    29.69
8.50    25.91
10.54    32.08
4.69    30.66
7.27    31.19
7.52    27.98
4.21    30.21
12.45    34.81
7.65    31.18
11.63    35.26
7.54    30.61
12.31    31.87
6.77    31.38
8.32    30.41
4.36    28.28
11.59    32.75
6.90    31.24
7.72    27.69
12.22    34.82
8.49    30.97
8.35    32.65
8.83    31.32
13.46    36.28
10.49    32.21
7.20    34.31
6.22    28.38
6.87    30.06
8.17    33.12
7.30    33.03
8.63    33.65
8.34    33.32
7.60    29.89
6.81    32.38
6.58    33.72
9.06    31.80
5.14    30.96
13.43    36.64
9.82    33.71
9.87    33.25
8.60    32.73
8.95    32.96
9.34    31.81
6.51    33.94
8.42    30.49
6.18    31.60
7.61    32.99
5.74    31.85
4.39    32.57
9.72    33.30
7.60    34.29
9.10    31.18
6.60    29.67
13.19    36.79
6.19    33.57
11.17    35.36
5.34    29.46
5.20    30.85
9.70    33.26
7.47    34.02
8.24    30.17
9.62    31.60
9.08    26.76
11.18    34.48
5.28    32.36
7.84    32.74
8.09    29.16
4.80    33.37
13.02    36.98
8.21    32.79
12.19    37.82
8.14    33.27
12.88    33.42
7.38    32.97
8.94    31.60
4.93    30.87
12.19    35.02
7.48    33.80
8.30    28.60
12.83    36.55
9.07    33.37
8.93    34.78
9.42    33.50
14.15    38.76
11.17    33.53
7.89    36.09
6.88    29.36
7.51    30.99
8.85    34.41
7.97    34.61
9.30    35.12
8.99    34.89
8.28    30.85
7.48    34.10
7.24    35.32
9.68    33.44
5.83    32.44
14.14    39.08
10.46    34.94
10.49    34.37
9.27    34.04
9.61    34.24
10.05    32.73
7.20    35.22
9.09    31.43
6.84    32.77
8.29    34.61
6.39    33.27
5.04    34.34
10.42    34.33
8.28    35.98
9.78    31.99
7.27    30.78
13.92    38.57
6.82    34.86
11.86    36.81
6.02    30.45
5.90    32.05
10.38    34.54
8.12    35.55
8.91    31.03
10.30    33.00
9.77    27.68
11.80    35.63
5.94    33.72
8.52    34.01
8.76    29.88
5.46    34.57
13.71    41.11
8.86    34.23
12.88    39.64
8.77    34.85
13.58    34.51
8.04    34.40
9.57    32.47
5.62    32.18
12.86    37.23
8.14    35.19
8.96    29.38
13.45    38.28
9.70    34.40
9.58    35.84
10.05    34.88
14.95    40.36
11.96    34.63
8.67    37.37
7.65    30.29
8.28    31.97
9.66    35.31
8.72    35.37
10.10    36.17
9.80    36.05
9.08    31.86
8.31    35.20
8.02    36.44
10.50    34.69
6.60    33.53
14.85    40.41
11.23    36.07
11.29    35.54
10.07    35.04
10.43    35.81
10.79    33.59
7.99    36.59
9.82    32.43
7.66    34.02
9.06    35.45
7.19    34.12
5.84    35.38
11.20    35.48
9.04    36.90
10.55    33.06
8.03    31.76
14.70    39.13
7.62    36.14
12.62    37.10
6.81    31.38
6.67    33.35
11.17    35.52
8.90    36.63
9.69    32.01
11.11    34.24
10.58    28.57
12.60    36.89
6.72    35.09
9.24    34.88
9.60    31.01
6.24    35.83
14.50    42.91
9.64    34.99
13.67    40.59
9.61    35.81
14.34    35.50
8.80    35.41
10.36    33.36
6.41    33.49
13.65    38.43
8.95    36.49
9.74    30.44
14.29    39.76
10.50    35.44
10.40    36.86
10.83    35.86
15.89    41.47
12.82    35.88
9.66    38.57
8.64    31.38
9.27    33.14
10.59    36.39
9.72    36.51
11.03    37.36
10.76    37.44
10.04    32.84
9.24    36.24
9.01    37.60
11.50    35.81
7.59    34.43
15.88    41.40
12.20    37.24
12.27    36.66
11.04    36.14
11.36    36.76
11.76    34.70
8.98    37.80
10.90    33.46
8.61    35.16
10.05    36.70
8.19    35.50
6.82    36.57
12.18    36.56
10.00    38.07
11.53    34.00
9.03    32.74
15.65    41.03
8.59    37.32
13.62    39.08
7.76    32.62
7.64    34.35
12.12    36.64
9.91    38.06
10.59    33.03
12.00    35.20
11.51    29.52
13.53    38.05
7.71    36.07
10.21    36.03
10.50    31.91
7.22    37.19
15.43    44.14
10.61    36.31
14.65    41.66
10.56    36.87
15.37    36.75
9.76    36.39
11.35    34.43
7.38    34.49
14.60    39.44
9.95    37.51
10.70    31.45
15.22    40.88
11.49    36.62
11.41    37.93
11.82    36.88
17.18    43.23
14.22    37.33
10.86    39.50
9.90    32.61
10.52    34.36
11.93    37.59
10.91    37.78
12.27    38.53
12.00    39.00
11.33    34.08
10.46    37.43
10.30    38.93
12.75    36.99
8.83    35.74
17.12    42.85
13.57    38.44
13.48    38.03
12.29    37.37
12.64    38.05
12.97    35.85
10.15    39.14
12.09    34.61
9.82    36.34
11.26    38.00
9.43    36.67
8.05    37.86
13.39    37.92
11.20    39.37
12.81    35.29
10.30    33.90
16.87    41.62
9.90    38.84
14.89    40.23
9.05    33.74
8.92    35.26
13.35    38.00
11.19    38.94
11.83    34.37
13.30    36.59
12.75    30.74
14.79    39.25
8.97    37.53
11.46    37.21
11.76    33.09
8.45    38.51
16.72    45.70
11.92    37.63
15.91    43.29
11.82    38.07
16.57    38.00
11.00    37.70
12.60    35.72
8.64    35.95
15.84    40.64
11.17    39.01
11.97    32.73
16.47    41.95
12.73    37.88
12.61    39.40
13.08    38.25
18.89    44.49
15.96    38.89
12.59    41.36
11.56    34.15
12.32    36.01
13.58    39.25
12.72    39.69
14.08    40.11
13.76    40.73
13.11    35.79
12.30    39.16
12.10    40.51
14.46    38.43
10.64    37.27
18.90    44.42
15.23    39.99
15.24    39.44
13.98    39.15
14.41    39.70
14.73    37.60
11.93    40.71
13.94    36.34
11.64    38.16
13.07    39.78
11.16    38.19
9.80    39.29
15.20    39.43
12.97    40.61
14.57    36.92
12.05    35.56
18.70    43.93
11.64    40.02
16.59    42.08
10.77    35.50
10.63    37.19
15.05    39.27
12.90    40.63
13.68    35.99
15.04    38.05
14.58    32.60
16.66    40.91
10.74    38.95
13.23    38.94
13.52    34.90
10.29    40.01
18.51    47.38
13.75    39.31
17.62    45.03
13.58    39.74
18.30    39.64
12.79    39.03
14.38    37.62
10.36    37.32
17.64    42.62
12.97    40.72
13.81    34.32
18.29    43.81
14.55    39.61
14.35    41.13
14.85    39.63
21.92    46.79
18.95    41.27
15.67    42.90
14.70    37.14
15.34    38.61
16.70    42.03
15.77    42.21
17.08    42.64
16.75    43.08
16.12    38.49
15.21    41.40
15.01    42.73
17.38    41.23
13.58    39.76
21.89    46.44
18.32    42.46
18.19    41.95
17.05    41.67
17.30    41.86
17.85    40.49
14.94    42.82
16.99    39.07
14.75    40.33
16.01    42.06
14.20    40.63
12.79    41.43
18.19    41.96
15.95    43.02
17.68    39.37
15.09    37.24
21.59    46.22
14.65    42.51
19.62    44.93
13.74    37.93
13.60    39.56
18.15    41.59
15.88    43.14
16.67    38.99
18.06    40.52
17.60    35.20
19.65    43.42
13.64    41.35
16.27    41.51
16.50    37.36
13.31    42.04
21.50    49.29
16.62    41.64
20.56    47.20
16.65    42.21
21.46    42.45
15.70    41.92
17.41    40.06
13.35    39.61
20.65    44.95
15.95    42.72
16.90    37.45
21.15    45.90
17.32    41.65
17.48    43.62
17.77    42.09
