input,result
29.49,39.30
29.52,33.92
29.56,36.30
29.53,29.22
29.55,31.09
29.52,34.44
29.54,34.83
29.56,34.98
29.55,35.55
29.55,30.87
29.58,34.56
29.50,35.13
29.50,34.00
29.48,32.86
29.50,39.03
29.51,35.04
29.52,34.86
29.56,33.91
29.51,34.79
32.38,32.76
29.53,35.68
29.51,31.18
29.56,33.31
29.51,34.56
29.54,33.39
29.56,34.75
29.53,34.14
29.49,36.03
29.50,32.28
29.59,30.71
29.51,38.63
29.51,35.42
29.54,36.99
29.51,30.74
29.54,32.50
29.56,34.42
29.51,35.86
29.53,31.47
29.52,33.47
29.53,28.46
29.52,35.84
29.51,34.37
29.54,34.16
29.55,30.33
29.51,35.46
29.51,41.08
29.57,34.15
29.61,40.08
29.51,34.91
29.50,34.13
29.52,34.67
30.25,32.56
29.58,32.59
29.54,37.17
29.54,35.94
29.53,30.18
29.52,38.46
29.49,34.64
29.53,35.90
29.50,34.82
23.55,37.93
23.59,33.31
23.47,35.74
23.47,28.97
23.59,30.79
23.63,33.79
23.71,34.16
23.65,34.29
23.66,34.63
23.62,30.54
23.79,34.06
23.49,34.44
23.49,33.59
23.58,32.44
23.53,37.32
23.53,34.60
23.48,34.22
23.66,33.38
23.47,34.35
26.39,32.58
23.53,35.00
23.50,30.91
23.69,32.84
23.52,34.09
23.55,32.98
23.61,34.01
23.53,33.75
23.53,35.36
23.49,31.95
23.80,30.33
23.53,37.06
23.53,34.69
23.50,36.24
23.58,30.43
23.64,32.16
23.51,34.09
23.49,35.27
23.72,30.91
23.57,33.10
23.67,28.15
23.52,35.27
23.50,33.76
23.65,33.61
23.71,29.86
23.49,34.79
23.52,38.63
23.67,33.60
23.82,37.66
23.53,34.49
23.52,33.60
23.57,33.97
24.31,32.17
23.70,32.13
23.53,36.20
23.76,35.18
23.61,29.81
23.51,37.33
23.48,34.20
23.70,35.04
23.48,34.40
20.30,35.63
20.40,32.41
20.04,34.80
20.04,28.73
20.19,30.38
20.32,33.07
20.31,33.53
20.28,33.66
20.31,33.78
20.21,30.13
20.39,33.67
19.99,33.91
20.11,32.79
20.21,31.86
20.35,35.54
20.10,33.72
20.05,33.42
20.31,32.78
20.08,33.67
23.02,32.16
20.01,34.10
20.05,30.59
20.31,32.27
20.03,33.51
20.14,32.24
20.32,33.23
20.08,33.02
20.01,34.38
20.15,31.33
20.34,29.91
20.25,35.26
20.06,33.94
20.12,34.95
20.25,30.02
20.32,31.67
20.12,33.24
20.02,34.37
20.32,30.45
20.36,32.28
20.30,27.72
20.19,34.39
20.04,33.01
20.24,32.89
20.37,29.58
20.09,33.91
20.07,36.30
20.30,32.96
20.48,35.63
19.99,33.77
20.34,32.75
20.14,33.24
20.92,31.57
20.44,31.67
20.23,35.12
20.35,34.36
20.29,29.25
20.28,35.70
20.04,33.65
20.35,34.38
20.10,33.78
18.14,34.10
18.32,32.08
17.62,33.56
17.63,28.36
17.79,29.95
17.86,32.56
17.93,32.96
17.88,33.02
17.92,32.78
17.84,29.79
17.98,32.73
17.61,32.85
17.96,32.23
18.07,31.28
