input    result
21.55    21.61
15.01    15.10
17.11    17.18
16.65    16.72
15.40    15.48
16.28    16.36
14.87    14.95
16.69    16.77
16.21    16.29
16.01    16.08
14.04    14.13
17.08    17.15
14.48    14.57
13.18    13.26
21.22    21.29
15.69    15.77
16.36    16.44
16.73    16.81
14.78    14.87
22.08    22.15
17.05    17.12
15.62    15.70
13.59    13.68
16.29    16.37
14.14    14.22
14.02    14.10
16.27    16.35
17.45    17.52
14.54    14.62
14.00    14.08
21.11    21.19
15.30    15.38
18.13    18.21
13.10    13.18
12.67    12.75
15.33    15.42
17.39    17.47
20.46    20.53
14.07    14.15
20.55    20.60
17.53    17.61
15.21    15.28
16.04    16.12
20.00    20.07
15.03    15.10
25.21    25.27
16.15    16.23
20.28    20.35
15.89    15.97
20.01    20.08
16.21    16.29
21.85    21.91
12.29    12.38
19.05    19.13
15.04    15.13
20.55    20.62
20.00    20.07
15.51    15.59
16.74    16.82
15.33    15.41
25.69    26.06
19.43    19.79
21.47    21.87
20.59    20.82
19.63    19.85
20.66    20.91
19.31    19.57
21.06    21.29
20.48    20.72
20.22    20.44
18.51    18.86
21.19    21.45
18.94    19.29
17.62    17.91
25.43    25.80
20.16    20.53
20.84    21.23
20.94    21.17
19.25    19.63
25.09    25.48
21.22    21.48
19.89    20.26
17.86    18.08
20.70    21.11
18.50    18.75
18.56    18.99
20.60    20.97
21.83    22.24
19.00    19.35
18.19    18.40
25.33    25.74
19.77    20.15
22.55    22.93
17.47    17.73
17.12    17.37
19.84    20.19
21.76    22.17
23.44    23.78
18.52    18.86
22.65    22.91
21.97    22.32
19.44    19.68
20.42    20.70
22.83    23.19
19.44    19.77
28.90    29.26
20.51    20.76
24.64    24.99
20.30    20.70
24.11    24.44
20.45    20.69
24.85    25.23
16.78    17.15
23.45    23.80
19.55    19.98
23.12    23.43
24.32    24.71
19.95    20.32
21.14    21.40
19.82    20.18
27.90    30.49
21.83    24.62
23.86    26.94
22.65    24.85
21.97    24.56
23.13    25.98
21.82    24.76
23.57    26.47
22.94    25.85
22.49    24.95
20.98    23.95
23.57    26.55
21.39    24.30
20.09    22.92
27.68    30.30
22.61    25.53
23.27    26.10
23.43    26.29
21.70    24.67
26.75    28.54
23.64    26.70
22.15    24.73
20.35    23.34
23.09    26.08
20.99    23.97
21.02    24.17
22.97    25.84
24.26    27.40
21.41    24.13
20.68    23.48
27.57    30.22
22.26    25.35
24.95    27.82
19.87    22.57
19.65    22.55
22.29    25.19
24.13    27.16
25.13    26.95
20.95    23.78
23.68    24.66
24.36    27.16
21.92    25.05
22.86    25.67
24.39    26.07
21.90    25.03
30.83    32.79
23.02    25.95
27.16    30.24
22.71    25.72
26.19    28.41
22.91    25.85
26.54    28.40
19.22    22.07
25.84    28.60
21.99    24.98
24.50    25.93
26.65    29.44
22.36    25.29
23.67    26.61
22.29    25.22
29.65    37.21
23.71    32.81
25.74    35.88
24.11    28.24
23.73    29.77
25.00    33.09
23.74    33.65
25.51    33.74
24.83    34.25
24.13    29.63
22.86    33.53
25.44    34.48
23.31    33.06
21.94    31.53
29.45    36.99
24.54    34.37
25.21    34.09
25.36    32.78
23.60    34.05
27.98    31.41
25.53    34.67
23.85    30.51
22.29    32.17
24.94    33.90
22.89    32.38
22.92    33.60
24.87    33.89
26.16    35.45
23.26    31.23
22.62    29.68
29.32    36.89
24.17    34.56
26.83    36.21
21.64    29.58
21.58    31.35
24.24    33.62
25.99    35.09
26.39    29.77
22.85    32.24
24.49    26.41
26.24    34.77
23.86    33.16
24.68    32.97
25.56    28.72
23.77    34.19
32.39    38.15
24.96    33.19
29.05    39.32
24.58    34.16
27.72    32.94
24.82    33.44
27.80    31.21
21.10    31.27
27.71    35.71
23.87    34.63
25.55    28.37
28.50    37.08
24.26    33.69
25.61    34.58
24.22    34.10
30.86    36.68
24.86    29.56
26.93    32.28
24.86    27.48
24.74    28.13
26.11    30.48
24.91    30.14
26.65    31.07
25.99    31.59
25.05    28.30
24.06    29.80
26.58    31.60
24.48    29.25
23.11    28.14
30.66    36.14
25.74    30.43
26.40    30.98
26.49    30.60
24.80    29.99
28.75    30.22
26.70    31.61
24.84    28.61
23.45    29.02
26.08    30.82
24.06    29.02
24.17    29.68
26.04    30.61
27.33    32.41
24.37    28.36
23.78    27.64
30.50    35.97
25.38    31.00
28.04    33.21
22.73    27.09
22.74    27.67
25.45    29.78
27.16    31.99
27.14    28.56
24.03    28.65
25.00    26.16
27.41    31.95
25.02    29.96
25.80    30.41
26.30    27.68
24.97    30.29
33.61    39.57
26.10    30.44
30.25    36.36
25.75    30.75
28.68    32.40
25.95    30.60
28.54    30.09
22.33    27.80
28.92    33.49
25.07    31.11
26.17    27.62
29.72    35.21
25.44    30.14
26.79    31.59
25.44    30.04
32.61    31.00
26.51    24.12
28.66    26.65
25.91    24.97
26.14    24.59
27.69    26.18
26.56    25.14
28.34    26.67
27.69    26.34
26.30    25.13
25.72    24.49
28.29    26.55
26.20    23.70
24.74    23.13
32.40    30.69
27.46    24.85
27.99    25.56
28.14    26.50
26.50    24.13
29.87    26.24
28.43    26.69
26.21    24.35
25.17    23.86
27.73    25.67
25.69    24.05
25.89    24.03
27.71    25.23
29.04    26.94
25.95    23.49
25.45    23.78
32.18    30.61
27.08    25.35
29.77    27.50
24.23    22.82
24.39    22.80
27.18    24.41
28.84    26.82
28.28    24.85
25.70    23.22
25.80    23.82
29.07    26.71
26.76    24.95
27.35    25.87
27.35    24.43
26.64    24.99
35.35    34.58
27.75    26.04
31.98    30.78
27.45    25.24
29.99    28.69
27.63    25.96
29.71    26.00
24.02    22.56
30.66    28.33
26.74    25.48
