input    result
11.44    12.60
11.50    12.57
9.86    14.78
7.75    15.08
10.25    18.65
11.34    23.66
10.01    14.52
9.14    15.29
11.75    15.96
9.67    15.02
11.05    13.01
11.33    12.30
9.01    10.17
10.14    15.85
10.38    14.19
8.90    16.08
9.64    18.44
11.60    27.28
8.18    26.11
10.26    13.85
10.05    14.46
7.95    14.83
11.26    23.85
8.88    26.60
8.56    18.10
10.32    16.28
10.56    18.92
10.55    17.02
8.61    18.50
10.05    20.04
11.60    23.49
8.67    17.36
8.20    22.30
9.66    16.37
8.52    22.06
10.03    18.80
9.75    16.81
7.67    15.48
11.54    16.43
8.86    17.19
9.06    23.86
9.13    18.50
8.53    16.97
9.37    15.77
11.75    17.92
7.56    15.71
9.80    17.78
8.38    14.51
8.19    22.15
9.65    18.00
8.22    15.23
10.52    13.87
10.43    16.53
9.34    12.32
10.91    14.48
10.73    16.03
9.05    20.34
9.06    16.99
