input,result
19.52,27.04
20.63,26.44
18.47,28.02
22.06,28.15
19.30,25.28
20.31,22.55
11.91,16.28
9.95,26.71
11.23,24.93
14.17,20.37
12.16,18.27
10.12,22.87
12.64,24.56
11.60,28.78
8.25,17.67
11.83,24.43
12.97,16.78
11.14,30.38
8.84,16.94
8.10,15.09
9.58,18.39
12.54,12.08
13.38,17.63
12.04,13.80
11.02,12.70
12.56,17.43
10.28,17.67
8.03,20.85
10.86,16.09
11.02,16.26
12.52,20.51
11.87,13.97
7.75,13.79
12.54,9.12
13.00,21.80
12.06,23.88
11.02,15.26
7.70,15.12
11.91,19.13
11.49,21.03
11.68,16.32
11.54,15.26
6.25,15.76
9.77,20.87
9.12,16.19
12.30,20.66
12.40,20.21
12.56,21.23
10.66,16.88
11.49,21.88
12.59,18.89
12.62,21.49
11.88,22.51
10.21,19.90
8.91,18.08
7.25,16.80
13.59,13.33
14.51,14.07
9.72,18.79
11.04,20.81
