input    result
inf    35.78
inf    31.86
inf    33.64
inf    36.87
inf    35.04
inf    36.27
inf    36.24
inf    29.07
inf    36.02
inf    36.17
inf    36.17
inf    33.28
inf    36.06
inf    36.60
inf    37.64
inf    36.45
inf    36.87
inf    36.84
inf    36.15
inf    36.36
inf    33.17
inf    32.54
inf    36.43
inf    37.52
inf    33.31
inf    36.36
inf    31.89
inf    30.67
inf    34.85
inf    31.79
inf    36.61
inf    36.98
inf    36.22
inf    36.57
inf    37.66
inf    37.35
inf    36.84
inf    35.71
inf    35.77
inf    36.74
inf    35.81
