input,result
14.31,23.19
14.32,25.30
12.72,21.58
14.32,23.56
13.78,25.09
13.64,22.47
13.32,24.83
13.83,23.16
14.09,23.76
14.20,23.89
13.15,19.71
14.13,25.88
15.09,24.26
14.15,26.54
13.27,26.73
13.68,25.47
13.75,23.04
13.32,27.24
13.09,26.44
13.27,26.05
15.11,25.17
13.35,26.44
13.73,23.27
14.02,25.70
13.95,24.05
13.98,24.41
13.72,22.69
14.28,24.97
13.96,24.73
14.21,24.92
13.43,25.53
13.33,26.26
14.61,25.91
14.65,23.40
13.51,25.84
13.84,24.91
13.16,26.41
13.88,23.63
13.84,25.19
13.95,23.92
14.30,22.79
14.06,25.96
14.45,23.80
14.42,23.70
