input,result
11.60,27.08
11.60,26.51
11.34,26.00
11.26,27.40
11.77,21.20
11.30,19.59
10.25,18.67
9.75,19.15
8.61,18.26
10.73,17.69
9.80,19.93
9.65,20.24
9.05,23.84
8.18,29.43
10.43,16.87
8.88,27.31
10.05,19.23
8.52,24.37
10.32,16.31
10.01,14.61
10.55,17.61
10.52,14.92
10.56,18.93
10.14,15.00
10.26,14.98
11.54,15.67
9.86,14.09
9.06,24.34
11.75,16.81
11.75,17.05
10.03,21.94
10.91,14.86
10.05,15.22
9.01,9.85
8.19,26.62
8.20,24.03
11.50,14.16
9.34,16.41
9.13,20.86
9.64,20.87
10.38,16.05
11.05,14.56
7.56,17.81
9.66,18.30
8.22,17.45
8.53,19.52
9.06,20.30
9.37,19.90
